YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2023,1,1,20409,B6,B6,JetBlue Airways,3,0.00,54452444.00,1854288.00,0.00,15588881.00,17443169.00,71895613.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54452444.00,17443169.00,71895613.00,0.00,192671714.00,192671714.00,6561118.00,0.00,55158891.00,61720009.00,254391723.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192671714.00,61720009.00,254391723.00
2023,1,1,20416,NK,NK,Spirit Air Lines,3,0.00,42530221.00,0.00,0.00,6637665.00,6637665.00,49167886.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42530221.00,6637665.00,49167886.00,0.00,152462413.00,152462413.00,0.00,0.00,23794712.00,23794712.00,176257125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152462413.00,23794712.00,176257125.00
2023,1,1,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,0.00,5550264.00,0.00,0.00,1294008.00,1294008.00,6844272.00,0.00,952495.00,952495.00,0.00,0.00,147087.00,12087.00,159174.00,1111669.00,6502759.00,1453182.00,7955941.00,0.00,21646031.00,21646031.00,0.00,0.00,5046632.00,5046632.00,26692663.00,0.00,3714732.00,3714732.00,0.00,0.00,573639.00,47139.00,620778.00,4335510.00,25360763.00,5667410.00,31028173.00
2023,1,1,20427,PT,PT,Piedmont Airlines,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,20436,F9,F9,Frontier Airlines Inc.,3,0.00,25775645.00,0.00,0.00,3070714.00,3070714.00,28846359.00,0.00,0.00,0.00,0.00,0.00,24150.00,0.00,24150.00,24150.00,25775645.00,3094864.00,28870509.00,0.00,64558908.00,64558908.00,0.00,0.00,8113968.00,8113968.00,72672876.00,0.00,0.00,0.00,0.00,0.00,60842.00,0.00,60842.00,60842.00,64558908.00,8174810.00,72733718.00
2023,1,1,20445,C5,C5,CommuteAir LLC dba CommuteAir,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,20447,U7,U7,USA Jet Airlines Inc.,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,510373.00,510373.00,0.00,0.00,12975.00,0.00,12975.00,523348.00,510373.00,12975.00,523348.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1969272.00,1969272.00,0.00,0.00,65558.00,0.00,65558.00,2034830.00,1969272.00,65558.00,2034830.00
2023,1,1,20452,YX,YX,Republic Airline,3,0.00,34965.00,0.00,0.00,0.00,0.00,34965.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34965.00,0.00,34965.00,0.00,131853.00,131853.00,0.00,0.00,0.00,0.00,131853.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131853.00,0.00,131853.00
2023,1,1,20453,ABX,ABX,ABX Air Inc,2,,41126.00,0.00,0.00,0.00,0.00,41126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41126.00,0.00,41126.00,,90412.00,90412.00,0.00,0.00,0.00,0.00,90412.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90412.00,0.00,90412.00
2023,1,1,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,21161,09Q,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,762399.00,762399.00,46897.00,0.00,287417.00,0.00,334314.00,1096713.00,762399.00,334314.00,1096713.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3589975.00,3589975.00,212094.00,0.00,1340305.00,0.00,1552399.00,5142374.00,3589975.00,1552399.00,5142374.00
2023,1,1,21492,1BQ,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,0.00,0.00,0.00,0.00,6120.00,6120.00,6120.00,0.00,129795.00,129795.00,0.00,0.00,60780.00,0.00,60780.00,190575.00,129795.00,66900.00,196695.00,0.00,0.00,0.00,0.00,0.00,27418.00,27418.00,27418.00,0.00,581482.00,581482.00,0.00,0.00,272294.00,0.00,272294.00,853776.00,581482.00,299712.00,881194.00
2023,1,1,21577,1TQ,1TQ,Rhoades Aviation dba Transair,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,21629,KD,KD,Western Global,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131429.00,458684.00,590113.00,26690.00,308910.00,0.00,144034.00,479634.00,1069747.00,590113.00,479634.00,1069747.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,412700.00,1814927.00,2227627.00,99706.00,878972.00,0.00,517658.00,1496336.00,3723963.00,2227627.00,1496336.00,3723963.00
2023,1,1,21634,KH,KH,Aloha Air Cargo,2,0.00,1546126.00,0.00,0.00,0.00,0.00,1546126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1546126.00,0.00,1546126.00,0.00,5325074.00,5325074.00,0.00,0.00,0.00,0.00,5325074.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5325074.00,0.00,5325074.00
2023,1,1,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,21754,2PQ,2PQ,21 Air LLC,1,0.00,18789.00,0.00,0.00,12655.00,12655.00,31444.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18789.00,12655.00,31444.00,0.00,77483.00,77483.00,0.00,0.00,54048.00,54048.00,131531.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77483.00,54048.00,131531.00
2023,1,1,21875,37Q,37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163207.00,163207.00,0.00,0.00,0.00,0.00,0.00,163207.00,163207.00,0.00,163207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,777021.00,777021.00,0.00,0.00,0.00,0.00,0.00,777021.00,777021.00,0.00,777021.00
2023,1,1,21974,3EQ,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,21979,3FQ,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,814771.00,814771.00,31265.00,0.00,53999.00,0.00,85264.00,900035.00,814771.00,85264.00,900035.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4666428.00,4666428.00,121793.00,0.00,315261.00,0.00,437054.00,5103482.00,4666428.00,437054.00,5103482.00
2023,1,1,22080,MX,MX,Breeze Aviation Group DBA  Breeze,1,0.00,1859131.00,0.00,0.00,0.00,0.00,1859131.00,0.00,351599.00,351599.00,0.00,0.00,0.00,0.00,0.00,351599.00,2210730.00,0.00,2210730.00,0.00,7595596.00,7595596.00,0.00,0.00,0.00,0.00,7595596.00,0.00,1436480.00,1436480.00,0.00,0.00,0.00,0.00,0.00,1436480.00,9032076.00,0.00,9032076.00
2023,1,1,22085,GCA,GCA,"Global Crossing Airlines, Inc.",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328800.00,328800.00,0.00,0.00,353954.00,0.00,353954.00,682754.00,328800.00,353954.00,682754.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1169559.00,1169559.00,0.00,0.00,1280024.00,0.00,1280024.00,2449583.00,1169559.00,1280024.00,2449583.00
2023,1,2,19393,WN,WN,Southwest Airlines Co.,3,0.00,144572295.00,0.00,0.00,1925045.00,1925045.00,146497340.00,0.00,2290.00,2290.00,0.00,0.00,0.00,0.00,0.00,2290.00,144574585.00,1925045.00,146499630.00,0.00,442721633.00,442721633.00,0.00,0.00,6780975.00,6780975.00,449502608.00,0.00,9203.00,9203.00,0.00,0.00,0.00,0.00,0.00,9203.00,442730836.00,6780975.00,449511811.00
2023,1,2,19687,QX,QX,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,2,19690,HA,HA,Hawaiian Airlines Inc.,3,0.00,15281569.00,0.00,4542062.00,0.00,4542062.00,19823631.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15281569.00,4542062.00,19823631.00,0.00,46848161.00,46848161.00,0.00,13059204.00,0.00,13059204.00,59907365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46848161.00,13059204.00,59907365.00
2023,1,2,19790,DL,DL,Delta Air Lines Inc.,3,0.00,154226979.00,44563539.00,14562594.00,24415424.00,83541557.00,237768536.00,0.00,1548493.00,1548493.00,199597.00,52514.00,26465.00,0.00,278576.00,1827069.00,155775472.00,83820133.00,239595605.00,0.00,462206872.00,462206872.00,133553637.00,43643019.00,73171224.00,250367880.00,712574752.00,0.00,4640719.00,4640719.00,598179.00,157380.00,79315.00,0.00,834874.00,5475593.00,466847591.00,251202754.00,718050345.00
